Source,Target,Weight
Frank Sinatra,Elvis Presley,0
Frank Sinatra,Johnny Cash,0
Frank Sinatra,Tina Turner,0
Frank Sinatra,Johnny Hallyday,0
Frank Sinatra,Aretha Franklin,0
Frank Sinatra,The Beatles,0
Frank Sinatra,Stevie Wonder,0
Frank Sinatra,The Beach Boys,0
Frank Sinatra,The Rolling Stones,0
Frank Sinatra,Barbra Streisand,0
Frank Sinatra,Bee Gees,0
Frank Sinatra,Bob Dylan,0
Frank Sinatra,Simon & Garfunkel,0
Frank Sinatra,Cher,0
Frank Sinatra,Neil Diamond,0
Frank Sinatra,Olivia Newton-John,0
Frank Sinatra,Pink Floyd,0
Frank Sinatra,The Doors,0
Frank Sinatra,David Bowie,0
Frank Sinatra,Bob Seger,0
Frank Sinatra,Julio Iglesias,0
Frank Sinatra,Fleetwood Mac,0
Frank Sinatra,Linda Ronstadt,0
Frank Sinatra,Led Zeppelin,0
Frank Sinatra,Rod Stewart,0
Frank Sinatra,Santana,0
Frank Sinatra,Chicago,0
Frank Sinatra,The Carpenters,0
Frank Sinatra,Genesis,0
Frank Sinatra,Elton John,0
Frank Sinatra,Eric Clapton,0
Frank Sinatra,Paul McCartney,0
Frank Sinatra,James Taylor,0
Frank Sinatra,Michael Jackson,0
Frank Sinatra,Billy Joel,0
Frank Sinatra,"Earth, Wind & Fire",0
Frank Sinatra,Eagles,0
Frank Sinatra,ABBA,0
Frank Sinatra,Queen,0
Frank Sinatra,Bruce Springsteen,0
Frank Sinatra,Aerosmith,0
Frank Sinatra,Barry Manilow,0
Frank Sinatra,Donna Summer,0
Frank Sinatra,Kiss,0
Frank Sinatra,AC/DC,0
Frank Sinatra,Journey,0
Frank Sinatra,Kenny Rogers,0
Frank Sinatra,Bob Marley,0
Frank Sinatra,Foreigner,0
Frank Sinatra,Meat Loaf,0
Frank Sinatra,Tom Petty,0
Frank Sinatra,Prince,0
Frank Sinatra,Dire Straits,0
Frank Sinatra,Van Halen,0
Frank Sinatra,The Police,0
Frank Sinatra,Def Leppard,0
Frank Sinatra,Bryan Adams,0
Frank Sinatra,U2,0
Frank Sinatra,Alabama,0
Frank Sinatra,Celine Dion,0
Frank Sinatra,Phil Collins,0
Frank Sinatra,Lionel Richie,0
Frank Sinatra,Janet Jackson,0
Frank Sinatra,Madonna,0
Frank Sinatra,Metallica,0
Frank Sinatra,Bon Jovi,0
Frank Sinatra,R.E.M.,0
Frank Sinatra,Whitney Houston,0
Frank Sinatra,George Strait,0
Frank Sinatra,George Michael,0
Frank Sinatra,Gloria Estefan,0
Frank Sinatra,Kenny G,0
Frank Sinatra,Red Hot Chili Peppers,0
Frank Sinatra,Guns N' Roses,0
Frank Sinatra,Enya,0
Frank Sinatra,B'z,0
Frank Sinatra,Garth Brooks,0
Frank Sinatra,Mariah Carey,0
Frank Sinatra,Nirvana,0
Frank Sinatra,Tupac Shakur,0
Frank Sinatra,R. Kelly,0
Frank Sinatra,Shania Twain,0
Frank Sinatra,Tim McGraw,0
Frank Sinatra,Usher,0
Frank Sinatra,Green Day,0
Frank Sinatra,Backstreet Boys,0
Frank Sinatra,Shakira,0
Frank Sinatra,Jay-Z,0
Frank Sinatra,Robbie Williams,0
Frank Sinatra,Britney Spears,0
Frank Sinatra,Christina Aguilera,0
Frank Sinatra,The Black Eyed Peas,0
Frank Sinatra,Ayumi Hamasaki,0
Frank Sinatra,Eminem,0
Frank Sinatra,Lil Wayne,0
Frank Sinatra,Coldplay,0
Frank Sinatra,Linkin Park,0
Frank Sinatra,Pink,0
Frank Sinatra,Alicia Keys,0
Frank Sinatra,Beyoncé,0
Frank Sinatra,Maroon 5,0
Frank Sinatra,Justin Timberlake,0
Frank Sinatra,Kanye West,0
Frank Sinatra,Rihanna,0
Frank Sinatra,Chris Brown,0
Frank Sinatra,Taylor Swift,0
Frank Sinatra,Flo Rida,0
Frank Sinatra,Luke Bryan,0
Frank Sinatra,Katy Perry,0
Frank Sinatra,Lady Gaga,0
Frank Sinatra,Adele,0
Frank Sinatra,Drake,0
Frank Sinatra,Justin Bieber,0
Frank Sinatra,Bruno Mars,0
Frank Sinatra,Nicki Minaj,0
Frank Sinatra,Ed Sheeran,0
Frank Sinatra,Imagine Dragons,0
Frank Sinatra,Ariana Grande,0
Frank Sinatra,The Weeknd,0
Frank Sinatra,Post Malone,0
Elvis Presley,Johnny Cash,1
Elvis Presley,Tina Turner,0
Elvis Presley,Johnny Hallyday,0
Elvis Presley,Aretha Franklin,0
Elvis Presley,The Beatles,0
Elvis Presley,Stevie Wonder,0
Elvis Presley,The Beach Boys,0
Elvis Presley,The Rolling Stones,0
Elvis Presley,Barbra Streisand,0
Elvis Presley,Bee Gees,0
Elvis Presley,Bob Dylan,0
Elvis Presley,Simon & Garfunkel,0
Elvis Presley,Cher,0
Elvis Presley,Neil Diamond,0
Elvis Presley,Olivia Newton-John,0
Elvis Presley,Pink Floyd,0
Elvis Presley,The Doors,0
Elvis Presley,David Bowie,0
Elvis Presley,Bob Seger,0
Elvis Presley,Julio Iglesias,0
Elvis Presley,Fleetwood Mac,0
Elvis Presley,Linda Ronstadt,0
Elvis Presley,Led Zeppelin,0
Elvis Presley,Rod Stewart,0
Elvis Presley,Santana,0
Elvis Presley,Chicago,0
Elvis Presley,The Carpenters,0
Elvis Presley,Genesis,0
Elvis Presley,Elton John,0
Elvis Presley,Eric Clapton,0
Elvis Presley,Paul McCartney,0
Elvis Presley,James Taylor,0
Elvis Presley,Michael Jackson,0
Elvis Presley,Billy Joel,0
Elvis Presley,"Earth, Wind & Fire",0
Elvis Presley,Eagles,0
Elvis Presley,ABBA,0
Elvis Presley,Queen,0
Elvis Presley,Bruce Springsteen,0
Elvis Presley,Aerosmith,0
Elvis Presley,Barry Manilow,0
Elvis Presley,Donna Summer,0
Elvis Presley,Kiss,0
Elvis Presley,AC/DC,0
Elvis Presley,Journey,0
Elvis Presley,Kenny Rogers,0
Elvis Presley,Bob Marley,0
Elvis Presley,Foreigner,0
Elvis Presley,Meat Loaf,0
Elvis Presley,Tom Petty,0
Elvis Presley,Prince,0
Elvis Presley,Dire Straits,0
Elvis Presley,Van Halen,0
Elvis Presley,The Police,0
Elvis Presley,Def Leppard,0
Elvis Presley,Bryan Adams,0
Elvis Presley,U2,0
Elvis Presley,Alabama,0
Elvis Presley,Celine Dion,0
Elvis Presley,Phil Collins,0
Elvis Presley,Lionel Richie,0
Elvis Presley,Janet Jackson,0
Elvis Presley,Madonna,0
Elvis Presley,Metallica,0
Elvis Presley,Bon Jovi,0
Elvis Presley,R.E.M.,0
Elvis Presley,Whitney Houston,0
Elvis Presley,George Strait,0
Elvis Presley,George Michael,0
Elvis Presley,Gloria Estefan,0
Elvis Presley,Kenny G,0
Elvis Presley,Red Hot Chili Peppers,0
Elvis Presley,Guns N' Roses,0
Elvis Presley,Enya,0
Elvis Presley,B'z,0
Elvis Presley,Garth Brooks,0
Elvis Presley,Mariah Carey,0
Elvis Presley,Nirvana,0
Elvis Presley,Tupac Shakur,0
Elvis Presley,R. Kelly,0
Elvis Presley,Shania Twain,0
Elvis Presley,Tim McGraw,0
Elvis Presley,Usher,0
Elvis Presley,Green Day,0
Elvis Presley,Backstreet Boys,0
Elvis Presley,Shakira,0
Elvis Presley,Jay-Z,0
Elvis Presley,Robbie Williams,0
Elvis Presley,Britney Spears,0
Elvis Presley,Christina Aguilera,0
Elvis Presley,The Black Eyed Peas,0
Elvis Presley,Ayumi Hamasaki,0
Elvis Presley,Eminem,0
Elvis Presley,Lil Wayne,0
Elvis Presley,Coldplay,0
Elvis Presley,Linkin Park,0
Elvis Presley,Pink,0
Elvis Presley,Alicia Keys,0
Elvis Presley,Beyoncé,0
Elvis Presley,Maroon 5,0
Elvis Presley,Justin Timberlake,0
Elvis Presley,Kanye West,0
Elvis Presley,Rihanna,0
Elvis Presley,Chris Brown,0
Elvis Presley,Taylor Swift,0
Elvis Presley,Flo Rida,0
Elvis Presley,Luke Bryan,0
Elvis Presley,Katy Perry,0
Elvis Presley,Lady Gaga,0
Elvis Presley,Adele,0
Elvis Presley,Drake,0
Elvis Presley,Justin Bieber,0
Elvis Presley,Bruno Mars,0
Elvis Presley,Nicki Minaj,0
Elvis Presley,Ed Sheeran,0
Elvis Presley,Imagine Dragons,0
Elvis Presley,Ariana Grande,0
Elvis Presley,The Weeknd,0
Elvis Presley,Post Malone,0
Johnny Cash,Tina Turner,0
Johnny Cash,Johnny Hallyday,0
Johnny Cash,Aretha Franklin,0
Johnny Cash,The Beatles,0
Johnny Cash,Stevie Wonder,0
