Id,Label
Frank Sinatra,Frank Sinatra
Elvis Presley,Elvis Presley
Johnny Cash,Johnny Cash
Tina Turner,Tina Turner
Johnny Hallyday,Johnny Hallyday
Aretha Franklin,Aretha Franklin
The Beatles,The Beatles
Stevie Wonder,Stevie Wonder
The Beach Boys,The Beach Boys
Barbra Streisand,Barbra Streisand
Bee Gees,Bee Gees
Bob Dylan,Bob Dylan
Simon & Garfunkel,Simon & Garfunkel
Cher,Cher
Neil Diamond,Neil Diamond
Olivia Newton-John,Olivia Newton-John
The Doors,The Doors
David Bowie,David Bowie
Bob Seger,Bob Seger
Fleetwood Mac,Fleetwood Mac
Linda Ronstadt,Linda Ronstadt
Rod Stewart,Rod Stewart
Santana,Santana
Chicago,Chicago
The Carpenters,The Carpenters
Elton John,Elton John
James Taylor,James Taylor
Michael Jackson,Michael Jackson
Billy Joel,Billy Joel
"Earth, Wind & Fire","Earth, Wind & Fire"
Eagles,Eagles
ABBA,ABBA
Bruce Springsteen,Bruce Springsteen
Aerosmith,Aerosmith
Barry Manilow,Barry Manilow
Donna Summer,Donna Summer
Kiss,Kiss
Journey,Journey
Kenny Rogers,Kenny Rogers
Foreigner,Foreigner
Meat Loaf,Meat Loaf
Tom Petty,Tom Petty
Prince,Prince
Van Halen,Van Halen
The Police,The Police
Alabama,Alabama
Celine Dion,Celine Dion
Lionel Richie,Lionel Richie
Janet Jackson,Janet Jackson
Madonna,Madonna
Metallica,Metallica
Bon Jovi,Bon Jovi
R.E.M.,R.E.M.
Whitney Houston,Whitney Houston
George Strait,George Strait
George Michael,George Michael
Gloria Estefan,Gloria Estefan
Kenny G,Kenny G
Red Hot Chili Peppers,Red Hot Chili Peppers
Guns N' Roses,Guns N' Roses
Garth Brooks,Garth Brooks
Mariah Carey,Mariah Carey
Nirvana,Nirvana
Tupac Shakur,Tupac Shakur
R. Kelly,R. Kelly
Tim McGraw,Tim McGraw
Usher,Usher
Green Day,Green Day
Backstreet Boys,Backstreet Boys
Shakira,Shakira
Jay-Z,Jay-Z
Britney Spears,Britney Spears
Christina Aguilera,Christina Aguilera
The Black Eyed Peas,The Black Eyed Peas
Ayumi Hamasaki,Ayumi Hamasaki
Eminem,Eminem
Lil Wayne,Lil Wayne
Coldplay,Coldplay
Linkin Park,Linkin Park
Pink,Pink
Alicia Keys,Alicia Keys
Beyoncé,Beyoncé
Maroon 5,Maroon 5
Justin Timberlake,Justin Timberlake
Kanye West,Kanye West
Rihanna,Rihanna
Chris Brown,Chris Brown
Taylor Swift,Taylor Swift
Flo Rida,Flo Rida
Luke Bryan,Luke Bryan
Katy Perry,Katy Perry
Lady Gaga,Lady Gaga
Adele,Adele
Drake,Drake
Justin Bieber,Justin Bieber
Bruno Mars,Bruno Mars
Nicki Minaj,Nicki Minaj
Ed Sheeran,Ed Sheeran
Imagine Dragons,Imagine Dragons
Ariana Grande,Ariana Grande
The Weeknd,The Weeknd
Post Malone,Post Malone
AC/DC,AC/DC
The Rolling Stones,The Rolling Stones
Pink Floyd,Pink Floyd
Julio Iglesias,Julio Iglesias
Led Zeppelin,Led Zeppelin
Genesis,Genesis
Eric Clapton,Eric Clapton
Paul McCartney,Paul McCartney
Queen,Queen
Dire Straits,Dire Straits
Bryan Adams,Bryan Adams
U2,U2
Phil Collins,Phil Collins
B'z,B'z
Def Leppard,Def Leppard
Robbie Williams,Robbie Williams
Bob Marley,Bob Marley
Shania Twain,Shania Twain
Enya,Enya
