Id,Label
Frank Sinatra,Frank Sinatra
Elvis Presley,Elvis Presley
Johnny Cash,Johnny Cash
Tina Turner,Tina Turner
Johnny Hallyday,Johnny Hallyday
Aretha Franklin,Aretha Franklin
The Beatles,The Beatles
Stevie Wonder,Stevie Wonder
The Beach Boys,The Beach Boys
The Rolling Stones,The Rolling Stones
Barbra Streisand,Barbra Streisand
Bee Gees,Bee Gees
Bob Dylan,Bob Dylan
Simon & Garfunkel,Simon & Garfunkel
Cher,Cher
Neil Diamond,Neil Diamond
Olivia Newton-John,Olivia Newton-John
Pink Floyd,Pink Floyd
The Doors,The Doors
David Bowie,David Bowie
Bob Seger,Bob Seger
Julio Iglesias,Julio Iglesias
Fleetwood Mac,Fleetwood Mac
Linda Ronstadt,Linda Ronstadt
Led Zeppelin,Led Zeppelin
Rod Stewart,Rod Stewart
Santana,Santana
Chicago,Chicago
The Carpenters,The Carpenters
Genesis,Genesis
Elton John,Elton John
Eric Clapton,Eric Clapton
Paul McCartney,Paul McCartney
James Taylor,James Taylor
Michael Jackson,Michael Jackson
Billy Joel,Billy Joel
"Earth, Wind & Fire","Earth, Wind & Fire"
Eagles,Eagles
ABBA,ABBA
Queen,Queen
Bruce Springsteen,Bruce Springsteen
Aerosmith,Aerosmith
Barry Manilow,Barry Manilow
Donna Summer,Donna Summer
Kiss,Kiss
AC/DC,AC/DC
Journey,Journey
Kenny Rogers,Kenny Rogers
Bob Marley,Bob Marley
Foreigner,Foreigner
Meat Loaf,Meat Loaf
Tom Petty,Tom Petty
Prince,Prince
Dire Straits,Dire Straits
Van Halen,Van Halen
The Police,The Police
Def Leppard,Def Leppard
Bryan Adams,Bryan Adams
U2,U2
Alabama,Alabama
Celine Dion,Celine Dion
Phil Collins,Phil Collins
Lionel Richie,Lionel Richie
Janet Jackson,Janet Jackson
Madonna,Madonna
Metallica,Metallica
Bon Jovi,Bon Jovi
R.E.M.,R.E.M.
Whitney Houston,Whitney Houston
George Strait,George Strait
George Michael,George Michael
Gloria Estefan,Gloria Estefan
Kenny G,Kenny G
Red Hot Chili Peppers,Red Hot Chili Peppers
Guns N' Roses,Guns N' Roses
Enya,Enya
B'z,B'z
Garth Brooks,Garth Brooks
Mariah Carey,Mariah Carey
Nirvana,Nirvana
Tupac Shakur,Tupac Shakur
R. Kelly,R. Kelly
Shania Twain,Shania Twain
Tim McGraw,Tim McGraw
Usher,Usher
Green Day,Green Day
Backstreet Boys,Backstreet Boys
Shakira,Shakira
Jay-Z,Jay-Z
Robbie Williams,Robbie Williams
Britney Spears,Britney Spears
Christina Aguilera,Christina Aguilera
The Black Eyed Peas,The Black Eyed Peas
Ayumi Hamasaki,Ayumi Hamasaki
Eminem,Eminem
Lil Wayne,Lil Wayne
Coldplay,Coldplay
Linkin Park,Linkin Park
Pink,Pink
Alicia Keys,Alicia Keys
Beyoncé,Beyoncé
Maroon 5,Maroon 5
Justin Timberlake,Justin Timberlake
Kanye West,Kanye West
Rihanna,Rihanna
Chris Brown,Chris Brown
Taylor Swift,Taylor Swift
Flo Rida,Flo Rida
Luke Bryan,Luke Bryan
Katy Perry,Katy Perry
Lady Gaga,Lady Gaga
Adele,Adele
Drake,Drake
Justin Bieber,Justin Bieber
Bruno Mars,Bruno Mars
Nicki Minaj,Nicki Minaj
Ed Sheeran,Ed Sheeran
Imagine Dragons,Imagine Dragons
Ariana Grande,Ariana Grande
The Weeknd,The Weeknd
Post Malone,Post Malone
